ID,ref,Sous-catégorie,Variété,,Nom,Title,Type variétal,Production,Conditionnement,Fournisseur,Prix d'achat,Prix de vente,impact sur le poids,EAN,Meta-title
3074,,356,Black Cherry Bio,Plant de ,356Black Cherry Bio,Plant de Tomate Black Cherry Bio,Ancienne,54,10515,21,0.70,2.80,0.20,3701450222185,Nos plants potagers en godet de Tomate Black Cherry Bio - La Bonne Graine
3099,,356,Buffalosteak F1 Bio,Plant de ,356Buffalosteak F1 Bio,Plant de Tomate Buffalosteak F1 Bio,Hybride,54,10515,21,01.04,3.00,0.20,3701450222192,Nos plants potagers en godet de Tomate Buffalosteak F1 Bio - La Bonne Graine
3543,,356,Licorna F1,Plant de ,356Licorna F1,Plant de Tomate Licorna F1,Hybride,10415,10515,21,01.08,2.90,0.20,3701450222208,Nos plants potagers en godet de Tomate Licorna F1 - La Bonne Graine
3548,,356,Coeur de Boeuf Cardinal,Plant de ,356Coeur de Boeuf Cardinal,Plant de Tomate Coeur de Boeuf Cardinal,Ancienne,10415,10515,67,0.52,2.70,0.20,3701450222222,Nos plants potagers en godet de Tomate Coeur de Boeuf Cardinal - La Bonne Graine
3549,,356,Dattolime F1,Plant de ,356Dattolime F1,Plant de Tomate Dattolime F1,Hybride,10415,10515,67,0.98,2.90,0.20,3701450222239,Nos plants potagers en godet de Tomate Dattolime F1 - La Bonne Graine
3551,,356,Russe Rouge,Plant de ,356Russe Rouge,Plant de Tomate Russe Rouge,Ancienne,10415,10515,21,0.55,2.70,0.20,3701450222246,Nos plants potagers en godet de Tomate Russe Rouge - La Bonne Graine
3552,,356,Marmande,Plant de ,356Marmande,Plant de Tomate Marmande,Ancienne,10415,10515,21,0.55,2.70,0.20,3701450222260,Nos plants potagers en godet de Tomate Marmande - La Bonne Graine
3553,,356,Andine Cornue Bio,Plant de ,356Andine Cornue Bio,Plant de Tomate Andine Cornue Bio,Ancienne,54,10515,21,0.58,2.80,0.20,3701450222284,Nos plants potagers en godet de Tomate Andine Cornue Bio - La Bonne Graine
3554,,356,Andine Cornue Anca,Plant de ,356Andine Cornue Anca,Plant de Tomate Andine Cornue Anca,Ancienne,10415,10515,67,0.58,2.70,0.20,3701450222291,Nos plants potagers en godet de Tomate Andine Cornue Anca - La Bonne Graine
3560,,356,Orange Queen Bio,Plant de ,356Orange Queen Bio,Plant de Tomate Orange Queen Bio,Ancienne,54,10515,79,0.77,2.80,0.20,3701450222307,Nos plants potagers en godet de Tomate Orange Queen Bio - La Bonne Graine
3563,,356,Green Envy,Plant de ,356Green Envy,Plant de Tomate Green Envy,Ancienne,10415,10515,21,0.84,2.70,0.20,3701450222314,Nos plants potagers en godet de Tomate Green Envy - La Bonne Graine
3567,,356,Poire Rouge Bio,Plant de ,356Poire Rouge Bio,Plant de Tomate Poire Rouge Bio,Ancienne,54,10515,21,0.87,2.80,0.20,3701450222338,Nos plants potagers en godet de Tomate Poire Rouge Bio - La Bonne Graine
3568,,356,Rose Crush F1,Plant de ,356Rose Crush F1,Plant de Tomate Rose Crush F1,Hybride,10415,10515,21,0.88,2.90,0.20,3701450222345,Nos plants potagers en godet de Tomate Rose Crush F1 - La Bonne Graine
3595,,356,Dattochoco F1,Plant de ,356Dattochoco F1,Plant de Tomate Dattochoco F1,Hybride,10415,10515,67,0.82,2.90,0.20,3701450223526,Nos plants potagers en godet de Tomate Dattochoco F1 - La Bonne Graine
